Date,Total_Confirmed_Cases,Total_Fatalities,Total_Recovered_Cases,New_Confirmed_Cases,New_Fatalities,New_Recovered_Cases,Remaining_Confirmed_Cases
737728,7700,163,7416,0,0,0,121
737728,441,10,398,2,0,9,33
737728,918811,91289,774567,6000,516,4560,52955
737728,0,0,0,0,0,0,0
737728,75201,1766,55190,968,19,695,18245
737728,355,2,273,8,0,9,80
737728,346,0,313,6,0,0,33
737728,18066,294,13942,320,4,215,3830
737728,215294,3625,177925,3256,53,3014,33744
737728,12777,91,10437,252,0,436,2249
737728,12907,133,11000,49,0,28,1774
737728,168235,920,128958,3517,16,4096,38357
737728,347801,7408,5844,11172,87,40,334549
737728,1957,25,1857,7,0,0,75
737728,5514,156,4225,0,0,0,1133
737728,1220,69,1137,1,0,2,14
737728,62691,1144,58430,170,3,181,3117
737728,30488,982,20448,930,5,454,9058
737728,20062,282,11863,498,1,0,7917
737728,114434,1208,103060,0,0,0,10166
737728,332993,6806,314066,807,11,539,12121
737728,132867,2688,109369,822,10,1027,20810
737728,589,7,575,0,0,0,7
737728,62596,1387,42337,546,14,537,18872
737728,897594,34362,819717,2666,47,0,43515
737728,378933,7185,330457,1998,38,609,41291
737728,340834,5351,134724,21629,202,5457,200759
737728,137272,2468,77449,4656,40,1747,57355
737728,132343,232,129349,193,1,225,2762
737728,235586,6867,167897,6546,103,4045,60822
737728,1588433,27462,1193867,17987,351,14402,367104
737728,5134,35,4878,3,0,27,221
737728,19,0,19,0,0,0,0
737728,78,0,28,2,0,1,50
737728,74,0,70,0,0,0,4
737728,0,0,0,0,0,0,0
737728,928,42,721,0,0,0,165
737728,945,16,904,1,0,0,25
737728,346880,5383,333409,398,20,404,8088
737728,15605,323,14732,12,0,72,550
737728,45137,814,0,1545,5,0,44323
737728,153,0,149,0,0,0,4
737728,2365,74,1798,3,0,3,493
737728,58003,28,57909,9,0,10,66
737728,55091,212,12508,3363,12,281,42371
737728,32503,315,11208,1798,23,807,20980
737728,8,0,4,0,0,0,4
737728,3941,104,3185,0,0,0,652
737728,723682,19230,653052,1912,66,3117,51400
737728,2903,58,1290,0,0,0,1555
737728,1185678,35878,150376,25595,239,0,999424
737728,10424,19,4282,633,0,140,6123
737728,13804,837,6764,32,0,0,6203
737728,5201,111,5057,4,0,4,33
737728,124355,5938,0,3188,4,0,118417
737728,154251,2277,65200,9207,77,100,86774
737728,5683,285,1937,50,4,39,3461
737728,554,7,514,1,0,1,33
737728,10977,82,10182,38,0,54,713
737728,509,21,183,0,0,0,305
737728,3780,59,3590,5,0,5,131
737728,30,0,29,0,0,0,1
737728,2312,55,1640,16,0,13,617
737728,5668,107,4455,32,0,162,1106
737728,58029,1253,5032,3751,100,0,51744
737728,373154,10177,322465,2322,78,1703,40512
737728,9064594,230539,3578452,98993,1031,24116,5255603
737728,12410,110,7503,209,2,42,4797
737728,390272,7235,161719,8608,177,3511,221318
737728,131508,490,127607,1172,2,1460,3411
737728,992874,46319,2811,24418,274,12,943744
737728,3082,58,2532,38,1,28,492
737728,66628,563,63864,236,2,283,2201
737728,0,0,0,0,0,0,0
737728,91589,793,86335,309,4,438,4461
737728,1177,35,1062,0,0,0,80
737728,53075,481,45896,504,8,448,6698
737728,2062,599,1366,0,0,0,97
737728,16415,349,15600,90,1,15,466
737728,8362,242,7884,13,0,20,236
737729,41425,1538,34321,91,3,63,5566
737729,20875,509,11189,241,7,92,9177
737729,57942,1964,40201,291,8,187,15777
737729,4756,75,3475,91,0,98,1206
737729,10805,284,4523,247,5,416,5998
737729,128,3,117,1,0,1,8
737729,1166924,31002,973939,9745,210,12838,161983
737729,89813,1341,55317,2381,41,1001,33155
737729,27595,907,25336,10,0,15,1352
737729,104925,1109,67226,5349,27,2239,36590
737729,55269,730,43543,1095,12,547,10996
737729,6714,144,4422,70,2,165,2148
737729,81645,321,78719,179,2,354,2605
737729,407684,5923,324145,1320,18,1442,77616
737729,237,7,221,1,0,3,9
737729,98482,980,86663,983,3,681,10839
737729,429229,11625,25569,16915,173,663,392035
737729,3487,59,2160,25,1,12,1268
737729,2643,41,2418,0,0,88,184
737729,349,0,324,1,0,5,25
